CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,BalanceSalaryRatio,Age_Bin,Active_and_High_Balance,CreditScoreAgeInteraction,Actual_Churn,Predicted_Churn,Churn_Probability
585,France,Male,36,7,0.0,2,1,0,94283.09,0.0,Middle-Aged,0,21060,0,0,0.09
525,Germany,Male,33,4,131023.76,2,0,0,55072.93,2.3790955011836123,Middle-Aged,0,17325,0,0,0.05
557,Spain,Female,40,4,0.0,2,0,1,105433.53,0.0,Middle-Aged,0,22280,0,0,0.04
639,Spain,Male,34,5,139393.19,2,0,0,33950.08,4.105828027503912,Middle-Aged,0,21726,0,0,0.01
640,Spain,Female,34,3,77826.8,1,1,1,168544.85,0.46175721180445445,Middle-Aged,0,21760,0,0,0.11
559,Spain,Male,34,0,0.0,1,1,0,182988.94,0.0,Middle-Aged,0,19006,0,0,0.37
595,Germany,Male,30,9,130682.11,2,1,1,57862.88,2.2584791838912963,Young,1,17850,0,0,0.05
706,Germany,Female,29,6,185544.36,1,1,0,171037.63,1.0848160138795186,Young,0,20474,0,0,0.17
505,France,Male,49,7,80001.23,1,0,0,135180.11,0.5918121386348923,Middle-Aged,0,24745,0,1,0.55
714,France,Female,40,0,0.0,2,1,0,62762.12,0.0,Middle-Aged,0,28560,0,0,0.04
699,Germany,Female,54,3,111009.32,1,1,1,155905.79,0.7120282062648219,Senior,0,37746,1,1,0.66
625,France,Female,38,7,0.0,1,1,0,164804.02,0.0,Middle-Aged,0,23750,0,0,0.18
721,France,Male,35,10,0.0,2,1,0,71594.26,0.0,Middle-Aged,0,25235,0,0,0.0
727,Spain,Female,31,10,96997.09,2,0,0,76614.04,1.266048494505707,Middle-Aged,0,22537,0,0,0.08
670,France,Male,38,10,89416.99,1,0,0,144275.39,0.6197660598942064,Middle-Aged,0,25460,0,0,0.12
702,Spain,Male,30,2,0.0,2,1,1,145537.32,0.0,Young,0,21060,0,0,0.06
633,France,Female,42,1,0.0,2,1,0,56865.62,0.0,Middle-Aged,0,26586,0,0,0.05
491,Spain,Female,61,8,0.0,2,0,1,139861.53,0.0,Senior,0,29951,0,0,0.19
617,Germany,Female,58,3,119024.75,2,1,0,35199.24,3.3814579519330534,Senior,0,35786,1,1,0.8
572,Germany,Female,35,1,139979.07,1,1,0,185662.84,0.7539423074644339,Middle-Aged,0,20020,0,0,0.28
551,France,Male,52,1,0.0,1,0,0,63584.55,0.0,Senior,0,28652,1,1,0.76
471,Spain,Male,26,8,0.0,2,1,1,179655.87,0.0,Young,0,12246,0,0,0.04
466,France,Male,26,3,156815.71,1,1,1,137476.09,1.1406762441381624,Young,1,12116,0,0,0.02
588,France,Male,44,8,154409.74,1,1,0,49324.03,3.1305175185401515,Middle-Aged,0,25872,1,0,0.34
778,France,Female,34,7,109564.1,1,0,1,113046.81,0.9691923195355978,Middle-Aged,0,26452,0,0,0.07
729,France,Male,34,3,152303.8,1,1,0,12128.69,12.557316577470443,Middle-Aged,0,24786,0,0,0.17
776,France,Female,43,4,0.0,2,0,1,162137.5,0.0,Middle-Aged,0,33368,0,0,0.1
664,Spain,Male,35,1,115024.5,1,0,1,169665.79,0.6779475108093387,Middle-Aged,0,23240,0,0,0.01
523,France,Male,36,8,158351.02,2,1,0,155304.53,1.019616233988796,Middle-Aged,0,18828,0,0,0.12
733,Germany,Male,39,5,91538.51,1,1,1,93783.0,0.97606719767975,Middle-Aged,0,28587,0,0,0.15
693,France,Female,30,6,127992.25,1,1,1,50457.2,2.536649873556202,Young,1,20790,0,0,0.07
614,France,Male,46,4,0.0,1,1,0,74379.57,0.0,Middle-Aged,0,28244,1,0,0.49
775,France,Male,45,8,0.0,1,1,0,130376.68,0.0,Middle-Aged,0,34875,0,0,0.45
633,France,Male,43,5,0.0,2,1,1,48249.88,0.0,Middle-Aged,0,27219,0,0,0.01
676,France,Female,43,2,0.0,1,1,1,55119.53,0.0,Middle-Aged,0,29068,0,0,0.39
768,France,Female,26,5,51116.26,1,1,1,70454.79,0.7255185914257924,Young,0,19968,1,0,0.04
727,France,Female,29,1,146652.01,1,1,1,173486.39,0.8453228521269017,Young,1,21083,0,0,0.09
629,France,Female,40,6,0.0,2,1,1,139356.3,0.0,Middle-Aged,0,25160,0,0,0.11
702,Spain,Male,43,6,116121.67,1,1,0,61602.42,1.8850179911763207,Middle-Aged,0,30186,0,0,0.17
796,Germany,Female,52,9,167194.36,1,1,1,62808.93,2.661952050448877,Senior,1,41392,1,0,0.41
530,Spain,Female,41,4,0.0,2,0,1,147606.71,0.0,Middle-Aged,0,21730,0,0,0.06
510,France,Female,32,1,0.0,2,0,1,28515.17,0.0,Middle-Aged,0,16320,0,0,0.03
709,France,Male,44,9,128601.98,1,1,0,117031.2,1.0988691904381054,Middle-Aged,0,31196,0,0,0.17
642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1.504107411878132,Middle-Aged,1,25680,1,0,0.14
655,Germany,Female,30,1,83173.98,2,1,1,184259.6,0.45139563963017393,Young,0,19650,0,0,0.06
464,France,Female,33,10,147493.7,2,1,0,100447.53,1.4683656233259297,Middle-Aged,0,15312,0,0,0.15
617,Spain,Male,61,3,113858.95,1,1,1,38129.22,2.9861337315581067,Senior,0,37637,0,0,0.33
655,Germany,Female,46,7,137145.12,1,1,0,115146.4,1.191050002431687,Middle-Aged,0,30130,1,1,0.8
709,France,Male,26,6,156551.63,1,0,1,4410.77,35.49303863044321,Young,1,18434,0,0,0.09
642,France,Male,48,9,118317.27,4,0,0,78702.98,1.5033391365866962,Middle-Aged,0,30816,1,1,0.77
741,Spain,Female,42,9,121056.63,2,1,0,39122.58,3.0942905605918627,Middle-Aged,0,31122,0,0,0.26
415,Spain,Male,53,5,167259.44,1,1,1,22357.25,7.481217054870344,Senior,1,21995,0,0,0.49
684,France,Male,30,2,0.0,2,1,0,83473.82,0.0,Young,0,20520,0,0,0.01
706,Spain,Male,29,2,0.0,2,1,1,18255.51,0.0,Young,0,20474,0,0,0.04
634,France,Female,45,2,0.0,1,1,1,143458.31,0.0,Middle-Aged,0,28530,0,0,0.5
813,France,Male,29,6,0.0,1,1,0,33953.87,0.0,Young,0,23577,0,0,0.21
775,Germany,Male,70,6,119684.88,2,1,1,74532.02,1.605818277835486,Senior,0,54250,0,0,0.15
445,France,Male,31,7,145056.59,1,1,1,175893.53,0.8246840574522554,Middle-Aged,1,13795,0,0,0.11
701,France,Male,37,8,107798.85,1,1,0,16966.73,6.353543081076908,Middle-Aged,0,25937,0,0,0.18
752,France,Male,33,4,0.0,2,1,1,39570.78,0.0,Middle-Aged,0,24816,0,0,0.0
723,France,Male,21,4,0.0,2,0,0,24847.02,0.0,Young,0,15183,0,0,0.0
806,France,Male,34,6,0.0,2,0,0,100809.99,0.0,Middle-Aged,0,27404,0,0,0.02
625,France,Male,49,6,173434.9,1,1,0,165580.93,1.047432817293634,Middle-Aged,0,30625,1,0,0.39
712,Spain,Female,44,2,0.0,2,0,0,45738.94,0.0,Middle-Aged,0,31328,0,0,0.23
571,Spain,Female,22,3,108117.1,1,0,1,53328.7,2.0273717529210353,Young,0,12562,0,0,0.1
639,France,Female,37,4,116121.84,2,0,1,181850.74,0.6385557738175826,Middle-Aged,0,23643,0,0,0.09
627,France,Female,44,5,0.0,2,1,0,82969.61,0.0,Middle-Aged,0,27588,1,0,0.07
630,Spain,Male,32,4,82034.0,1,0,0,146326.45,0.5606231819332731,Middle-Aged,0,20160,0,0,0.07
578,Spain,Male,23,8,0.0,2,1,0,112124.98,0.0,Young,0,13294,0,0,0.0
679,Spain,Male,39,6,0.0,2,1,0,12266.06,0.0,Middle-Aged,0,26481,0,0,0.07
767,France,Female,35,6,115576.44,1,0,1,27922.45,4.139194089343879,Middle-Aged,0,26845,0,0,0.08
762,Spain,Female,35,3,119349.69,3,1,1,47114.18,2.533201044780998,Middle-Aged,0,26670,1,1,0.72
734,Spain,Male,39,6,0.0,1,1,1,95135.27,0.0,Middle-Aged,0,28626,0,0,0.08
659,Germany,Male,67,6,117411.6,1,1,1,45071.09,2.6050312961146496,Senior,0,44153,1,0,0.29
575,Germany,Male,49,7,121205.15,4,1,1,168080.53,0.7211135638375248,Middle-Aged,0,28175,1,1,0.9
580,France,Female,35,1,102097.33,1,0,1,168285.85,0.606689926693183,Middle-Aged,0,20300,0,0,0.14
766,Spain,Male,41,0,0.0,2,0,1,34283.23,0.0,Middle-Aged,0,31406,0,0,0.11
850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0.39193856458175613,Middle-Aged,0,32300,0,0,0.12
749,France,Male,42,1,129776.72,2,0,1,143538.51,0.9041247536985022,Middle-Aged,1,31458,0,0,0.1
746,France,Male,48,5,165282.42,1,1,0,153786.46,1.074752744812515,Middle-Aged,0,35808,1,0,0.32
718,France,Male,37,8,0.0,2,1,1,142.81,0.0,Middle-Aged,0,26566,0,0,0.09
642,Spain,Male,26,8,144238.7,1,1,1,184399.76,0.7822065495096089,Young,1,16692,0,0,0.18
558,France,Male,33,0,108477.49,1,1,1,109096.71,0.9943241184816664,Middle-Aged,0,18414,1,0,0.02
531,Germany,Female,64,2,175754.87,2,1,1,60721.4,2.894446933041728,Senior,1,33984,0,0,0.13
748,France,Female,41,2,91621.69,1,1,1,71139.31,1.2879192952532152,Middle-Aged,0,30668,0,0,0.09
664,France,Male,36,1,0.0,2,1,1,95372.64,0.0,Middle-Aged,0,23904,0,0,0.0
511,Germany,Female,75,9,105609.17,1,0,1,105425.18,1.0017452187418603,Elderly,0,38325,0,0,0.28
635,France,Female,47,2,125724.95,2,1,0,63236.97,1.9881558208750356,Middle-Aged,0,29845,0,0,0.39
571,France,Male,34,1,99325.04,2,0,1,186052.15,0.5338559108293024,Middle-Aged,0,19414,0,0,0.03
698,France,Male,57,6,136325.48,2,1,1,72549.27,1.8790744551943803,Senior,1,39786,1,0,0.22
636,Spain,Male,76,9,126534.6,1,1,1,39789.62,3.180090686968109,Elderly,0,48336,0,0,0.1
538,France,Female,33,5,0.0,2,1,0,126962.41,0.0,Middle-Aged,0,17754,0,0,0.0
738,France,Female,67,1,130652.52,1,0,1,22762.23,5.739882252310077,Senior,1,49446,0,0,0.15
662,Spain,Male,20,9,104508.77,2,0,0,73107.53,1.429521281870691,Young,0,13240,0,0,0.11
555,France,Female,44,3,105770.7,3,1,0,60533.96,1.7472952372519492,Middle-Aged,0,24420,1,1,0.96
531,Spain,Male,27,8,132576.25,1,0,0,7222.92,18.354938169050744,Young,0,14337,0,0,0.18
593,Germany,Female,32,9,134096.53,2,1,0,53931.05,2.4864438945653755,Middle-Aged,0,18976,1,0,0.05
579,Germany,Male,28,6,150329.15,1,1,0,145558.42,1.0327753626344665,Young,0,16212,0,0,0.04
706,France,Male,32,6,94486.47,1,1,1,146949.74,0.642984941654201,Middle-Aged,0,22592,0,0,0.02
754,France,Male,28,8,0.0,2,1,1,52615.62,0.0,Young,0,21112,0,0,0.08
653,Germany,Male,31,9,143321.97,1,1,0,83679.46,1.7127496998666099,Middle-Aged,0,20243,0,0,0.21
558,Germany,Male,26,1,148853.29,2,1,1,24411.02,6.0977906699515225,Young,1,14508,0,0,0.0
589,France,Female,39,7,0.0,2,0,0,95985.64,0.0,Middle-Aged,0,22971,0,0,0.07
670,Spain,Female,65,1,0.0,1,1,1,177655.68,0.0,Senior,0,43550,1,0,0.1
714,Germany,Female,35,6,126077.43,2,1,1,53954.24,2.33674739927761,Middle-Aged,0,24990,0,0,0.29
547,France,Female,51,1,0.0,2,1,1,56908.41,0.0,Senior,0,27897,0,0,0.3
761,Spain,Male,37,7,132730.17,1,1,0,199293.01,0.6660051448869181,Middle-Aged,0,28157,0,0,0.22
591,France,Male,24,6,147360.0,1,1,1,25310.82,5.82201603899044,Young,1,14184,0,0,0.04
714,France,Female,31,4,125169.26,1,1,1,106636.89,1.1737894831704112,Middle-Aged,0,22134,0,0,0.01
629,Germany,Male,35,7,156847.29,2,1,0,31824.29,4.928540118255584,Middle-Aged,0,22015,0,0,0.11
643,France,Male,36,7,161064.64,2,0,1,84294.82,1.9107299831709708,Middle-Aged,1,23148,0,0,0.06
445,Germany,Female,38,6,119413.62,2,1,0,175756.36,0.6794270204503553,Middle-Aged,0,16910,0,0,0.25
501,France,Female,34,3,107747.57,1,1,0,9249.36,11.649191944091267,Middle-Aged,0,17034,0,0,0.1
686,Germany,Female,43,5,154846.24,2,1,1,151903.6,1.0193717594579719,Middle-Aged,1,29498,0,0,0.25
500,Germany,Male,30,2,125495.64,2,1,1,68807.47,1.8238665075172797,Young,0,15000,0,0,0.04
703,Germany,Male,39,1,141559.5,1,1,1,31257.1,4.528875039591005,Middle-Aged,1,27417,1,0,0.21
730,France,Male,34,5,122453.37,2,1,0,138882.98,0.8817017751203207,Middle-Aged,0,24820,0,0,0.02
