feature,importance
Age,0.14741312277421062
CreditScoreAgeInteraction,0.12099926569181173
NumOfProducts,0.11610431101796923
CreditScore,0.10267743200541661
EstimatedSalary,0.0993986495505647
Balance,0.09378204790705912
BalanceSalaryRatio,0.0827831624836874
Tenure,0.06284616357654815
IsActiveMember,0.04304663648043031
Age_Bin_Senior,0.024653459847319904
Geography_Germany,0.022857983674974807
HasCrCard,0.01585354134804964
Geography_France,0.011370843885701339
Gender_Female,0.010752229972742942
Gender_Male,0.009869987761054211
Geography_Spain,0.009574674637709443
Age_Bin_Middle-Aged,0.008885741157237718
Active_and_High_Balance,0.007871417287031857
Age_Bin_Young,0.0069761209383108315
Age_Bin_Elderly,0.002283208002169433
