feature,importance
Age_Bin_Senior,0.6219167
NumOfProducts,0.09706165
IsActiveMember,0.05146045
Age,0.04686486
Geography_Germany,0.032987624
BalanceSalaryRatio,0.016753964
Balance,0.016622094
Gender_Female,0.015350836
Active_and_High_Balance,0.014549753
Geography_France,0.012267165
CreditScore,0.012076657
EstimatedSalary,0.011701446
Geography_Spain,0.011125612
CreditScoreAgeInteraction,0.010992246
Tenure,0.010017043
HasCrCard,0.009736521
Age_Bin_Middle-Aged,0.008515421
Gender_Male,0.0
Age_Bin_Elderly,0.0
Age_Bin_Young,0.0
